,us,cns,conf
84,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)",2 8 ,0.12162162162162163
85,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)",2 8 7 ,0.12162162162162163
86,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)",2 6 7 ,0.06902985074626866
87,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)",2 6 8 ,0.12162162162162163
88,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)",2 6 13 ,0.0033783783783783786
89,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)(3,4,1,sendapinnumberinaletter,1,endprocess)",2 6 8 ,0.125
90,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)",2 13 ,0.0033783783783783786
91,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)(3,4,1,sendabankcardinaletter,1,endprocess)",2 8 ,0.125
92,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)(3,4,1,sendabankcardinaletter,1,endprocess)",2 8 7 ,0.125
93,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)",2 13 7 ,0.0033783783783783786
94,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)",2 7 ,0.06902985074626866
95,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)",2 8 ,0.12162162162162163
96,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)",2 13 ,0.0033783783783783786
97,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)(3,4,1,sendapinnumberinaletter,1,endprocess)",2 8 ,0.125
98,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)",2 14 ,0.0037313432835820895
99,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sss)",2 8 ,0.5
100,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)",2 5 ,0.0070921985815602835
